file,report_year,roadmap_order,order_title,series,pages,tier,extractable_now,stop,garb,sha256
Final_SBA-Consolidated_SBIR_STTR_Program_Annual_Report_for_FYs_2009-2011.pdf,2009,1,SBA annual-report tables [L18],sba_consolidated_annual_report,75,clean_digital,True,0.231,0.04,9b9e89c0c8b7a45c115ff60a60d3954a5cf21964cfe319333127f7b03fdae61c
SBIR-STTR_FY_2012_Report_Final.pdf,2012,1,SBA annual-report tables [L18],sba_consolidated_annual_report,44,ocr_noisy,True,0.242,0.046,97bef3362a2d119211c280e69d8b724c9b28c619cab7b67ce416596080b8305b
FY13_SBIR_STTR_AR_Final.pdf,2013,1,SBA annual-report tables [L18],sba_consolidated_annual_report,48,clean_digital,True,0.245,0.035,a72d48d311ee24d94a1afbefb7582bd2c4f1f01acb140585e92c6c1ac967e3c1
SBIR-STTR_FY14_Annual_Report_to_Congress.pdf,2014,1,SBA annual-report tables [L18],sba_consolidated_annual_report,50,ocr_noisy,True,0.253,0.042,07d8b2b6c6dc89ea1f979e3384a2d3f8e628527b9074c2b4718c6165acf62e4e
FY15_SBIR-STTR_Annual_Report.pdf,2015,1,SBA annual-report tables [L18],sba_consolidated_annual_report,65,clean_digital,True,0.278,0.039,26ba7b69d18bf5981ce76e7223d71539a491c06eadb3ea66aee5576dccae4442
FY16 SBIR Annual Report 04082019.pdf,2016,1,SBA annual-report tables [L18],sba_consolidated_annual_report,96,clean_digital,True,0.252,0.04,ac82797e2798df9f6a6ceaae6c3134eac720e070d8bf3c5f0d98ac17d30c6e7d
SBIR FY2017 ANNUAL REPORT.pdf,2017,1,SBA annual-report tables [L18],sba_consolidated_annual_report,104,clean_digital,True,0.256,0.038,901e9c9b69107dd2101d271c5c7edab594afed9cb70ee0c5757ccbb3d41454f9
SBA_SBIR_STTR_FY18_Annual_Report-Final_508.pdf,2018,1,SBA annual-report tables [L18],sba_consolidated_annual_report,96,clean_digital,True,0.256,0.039,65dac5750f54998741435b548d2afc796be191a14a459d8abbe945433c57b353
SBA FY 2019 Annual Report Final_508compliant.pdf,2019,1,SBA annual-report tables [L18],sba_consolidated_annual_report,103,clean_digital,True,0.269,0.032,b799b5254ca62a2cb87cc2649aff6272ffec38a40057a20a70a32b38e857a514
SBA_SBIR_STTR_FY20_Annual_Report.pdf,2020,1,SBA annual-report tables [L18],sba_consolidated_annual_report,99,clean_digital,True,0.246,0.033,f1f51abb29c71d631451868f31babf2f6f1fe3845df91e534052f1d40dece3d3
SBA_SBIR_STTR_FY21_Annual_Report.pdf,2021,1,SBA annual-report tables [L18],sba_consolidated_annual_report,95,clean_digital,True,0.245,0.035,30b4dfa9b4c2c2220fc15938d5bd1a44bee92d5aa746b8756dc7d66217c6df55
SBA_FY22_SBIR_STTR_Annual_Report.pdf,2022,1,SBA annual-report tables [L18],sba_consolidated_annual_report,94,clean_digital,True,0.242,0.036,5ba60852f1cc44b23afdbf810ecf0cff77d714d10ffc786a9b73416d7c000fd1
AR_Summary_1990_0.pdf,1990,1,SBA annual-report tables [L18],sbir_annual_report_series,59,no_text_layer,False,0.0,0.0,4c3db062437ab7c96bb5cf4f1597b425be3bad5b775ebbda0f8b5879ac22284a
AR_Summary_1991_0.pdf,1991,1,SBA annual-report tables [L18],sbir_annual_report_series,51,no_text_layer,False,0.0,0.0,a5bcf8b8f2a8f9758ef5d0532cf4569704482e4b5c6e2fd8dda7bf71b465f35c
AR_Summary_1992_0.pdf,1992,1,SBA annual-report tables [L18],sbir_annual_report_series,49,no_text_layer,False,0.0,0.0,9c727f9ecb1fe8a26b001176c3a4ae447e6bd5ef22409de07715af99485408f1
AR_Summary_1993.pdf,1993,1,SBA annual-report tables [L18],sbir_annual_report_series,44,no_text_layer,False,0.0,0.0,a5f3bdf1d6c218118aee2248eda81f684e939b97b022c33c204f165b609f1011
AR_Summary_1994_0.pdf,1994,1,SBA annual-report tables [L18],sbir_annual_report_series,48,no_text_layer,False,0.0,0.0,d4a401f714c45e30dd2c6a98b319b86ab7a3d01725aa32f2ad3650a6314e6810
