state,sbir_p1_n,sbir_p1_usd,sttr_p1_n,sttr_p1_usd,sbir_p2_n,sbir_p2_usd,sttr_p2_n,sttr_p2_usd,sbir_tot_n,sbir_tot_usd,sttr_tot_n,sttr_tot_usd,all_tot_n,all_tot_usd
AK,2,194981,1,149968,0,384966,0,0,2,579947,1,149968,3,729915
AL,54,8418721,12,1890823,28,25314385,6,4060145,82,33733106,18,5950968,100,39684073
AR,7,1266989,2,374674,3,3850899,1,875076,10,5117888,3,1249750,13,6367638
AZ,53,7962993,19,3520776,21,25114914,3,3776465,74,33077907,22,7297241,96,40375148
CA,620,104160299,85,17762094,356,387240832,41,41370208,976,491401131,126,59132302,1102,550533433
CO,157,24564838,21,2992359,74,79807687,7,6334567,231,104372525,28,9326926,259,113699451
CT,32,5158174,11,2032279,28,29789552,2,1999978,60,34947726,13,4032257,73,38979983
DC,11,1694430,2,349786,7,4489649,0,305643,18,6184079,2,655429,20,6839508
DE,16,2532545,3,623999,14,12146895,1,736878,30,14679440,4,1360877,34,16040317
FL,78,11110688,25,4254584,45,42866275,2,2247270,123,53976964,27,6501854,150,60478817
GA,39,6400932,8,1994216,20,19455103,1,2631424,59,25856035,9,4625640,68,30481675
HI,14,2732122,1,80000,7,9848968,0,0,21,12581090,1,80000,22,12661090
IA,12,2546216,6,1279690,4,5799817,1,240880,16,8346033,7,1520570,23,9866603
ID,5,726660,1,225000,4,2843737,0,148773,9,3570396,1,373773,10,3944169
IL,79,13545285,19,3806349,32,35836162,6,5975812,111,49381448,25,9782161,136,59163609
IN,29,5047973,12,2661261,7,8997241,1,1458657,36,14045214,13,4119918,49,18165132
KS,4,503628,1,294965,4,5131603,0,0,8,5635231,1,294965,9,5930196
KY,15,2920485,6,1011225,13,12463526,4,3504920,28,15384011,10,4516145,38,19900156
LA,3,540054,3,719850,4,2479972,0,0,7,3020026,3,719850,10,3739876
MA,295,54681891,45,8947569,176,213558635,16,18803951,471,268240526,61,27751520,532,295992046
MD,128,23348610,27,4675954,82,97052255,7,9394114,210,120400865,34,14070068,244,134470933
ME,8,1258724,0,0,1,2042143,0,0,9,3300867,0,0,9,3300867
MI,55,8911706,7,1266235,38,46338017,5,4727706,93,55249723,12,5993941,105,61243664
MN,43,8581547,12,1947070,24,25312198,2,2254590,67,33893745,14,4201660,81,38095405
MO,23,4609953,6,1647525,11,11297136,0,0,34,15907089,6,1647525,40,17554614
MS,5,614262,0,0,2,1051000,0,0,7,1665262,0,0,7,1665262
MT,15,2489865,4,990847,4,6679760,0,0,19,9169625,4,990847,23,10160472
NC,64,12475781,23,4533804,41,46774904,7,6295172,105,59250685,30,10828976,135,70079661
ND,2,248394,0,0,1,750000,0,0,3,998394,0,0,3,998394
NE,6,1163890,3,972531,1,786734,1,1290938,7,1950624,4,2263469,11,4214093
NH,35,5990209,6,1043799,22,23910688,1,1899701,57,29900896,7,2943500,64,32844396
NJ,62,10174483,11,1667960,43,40450614,3,3284729,105,50625096,14,4952689,119,55577785
NM,42,5872768,8,1272804,22,24112912,6,6059639,64,29985680,14,7332443,78,37318123
NV,3,575285,2,303902,7,5558108,1,499959,10,6133394,3,803861,13,6937255
NY,114,21927766,25,5020597,74,79065444,12,12955488,188,100993210,37,17976085,225,118969295
OH,105,15535345,25,4051360,56,61073589,8,8697694,161,76608935,33,12749054,194,89357989
OK,12,1756055,2,299940,5,5490366,0,0,17,7246420,2,299940,19,7546360
OR,39,6855266,8,1774036,21,23480035,4,5493294,60,30335301,12,7267330,72,37602631
PA,102,19334259,30,6121445,62,69905786,10,9404647,164,89240044,40,15526092,204,104766136
PR,1,225000,2,448916,1,750000,0,0,2,975000,2,448916,4,1423916
RI,5,944305,1,79573,6,7284946,0,0,11,8229251,1,79573,12,8308824
SC,10,3350674,6,1578334,5,7300985,0,706207,15,10651659,6,2284541,21,12936200
SD,0,0,2,370647,1,1039229,0,0,1,1039229,2,370647,3,1409876
TN,11,1446916,8,1325727,11,10354616,0,0,22,11801532,8,1325727,30,13127259
TX,133,21979974,33,6307845,73,68991394,12,9854234,206,90971367,45,16162078,251,107133446
UT,31,6068323,10,1774816,11,12851015,7,6299018,42,18919338,17,8073834,59,26993172
VA,154,21494954,33,4916851,98,105562818,16,15836512,252,127057772,49,20753363,301,147811135
VT,9,1547820,0,0,4,5216457,0,0,13,6764277,0,0,13,6764277
WA,53,12251616,15,3369147,40,42653831,3,4389024,93,54905447,18,7758171,111,62663618
WI,22,5920564,5,1588960,9,14233951,2,2995224,31,20154516,7,4584184,38,24738700
WV,2,204997,1,115821,1,2147684,0,0,3,2352681,1,115821,4,2468502
WY,4,724849,0,0,2,1782359,0,0,6,2507208,0,0,6,2507208
