state,sbir_p1_n,sbir_p1_usd,sttr_p1_n,sttr_p1_usd,sbir_p2_n,sbir_p2_usd,sttr_p2_n,sttr_p2_usd,sbir_tot_n,sbir_tot_usd,sttr_tot_n,sttr_tot_usd,all_tot_n,all_tot_usd
AK,2,272904,1,49964,3,2618783,0,0,5,2891687,1,49964,6,2941651
AL,81,15575884,26,4138224,41,62123762,11,9511837,122,77699646,37,13650061,159,91349707
AR,13,2746106,1,259878,3,4587498,2,1849994,16,7333604,3,2109872,19,9443476
AZ,60,12850212,27,6000194,46,56928380,7,12441746,106,69778592,34,18441940,140,88220532
CA,594,128580264,124,27957561,498,661628041,60,69475402,1092,790208305,184,97432963,1276,887641267
CO,146,28468062,39,8402702,115,136911738,14,11801959,261,165379800,53,20204661,314,185584460
CT,49,10077094,11,2488049,21,27605923,3,4581218,70,37683017,14,7069267,84,44752283
DC,15,2657132,4,1034181,9,10730117,1,992093,24,13387249,5,2026274,29,15413524
DE,20,4599182,9,1975169,14,18975053,2,2408818,34,23574235,11,4383987,45,27958222
FL,83,16278230,42,9003153,89,110016519,12,9829010,172,126294749,54,18832163,226,145126912
GA,29,7812057,21,4633901,28,42343155,5,5870541,57,50155212,26,10504442,83,60659654
HI,20,3521440,4,852375,19,27401271,3,2017525,39,30922711,7,2869900,46,33792611
IA,14,3323403,2,556000,4,3973767,0,0,18,7297170,2,556000,20,7853170
ID,9,1359440,2,189855,5,6251183,1,749999,14,7610623,3,939854,17,8550477
IL,60,12348789,17,4016310,56,80436448,14,13113482,116,92785237,31,17129792,147,109915028
IN,22,6233601,13,3179291,21,22694132,5,5227181,43,28927733,18,8406472,61,37334205
KS,8,2140347,5,1147407,8,9416684,0,0,16,11557031,5,1147407,21,12704438
KY,13,3025713,7,1981712,11,17501891,5,5647827,24,20527604,12,7629539,36,28157143
LA,10,2057067,10,2093698,12,23709787,2,3282859,22,25766854,12,5376557,34,31143411
MA,299,64126151,72,15990579,234,328787042,29,34717668,533,392913193,101,50708247,634,443621440
MD,104,25847998,34,7114341,84,130586674,11,16428443,188,156434672,45,23542784,233,179977455
ME,4,759605,1,256000,2,3192168,0,0,6,3951773,1,256000,7,4207773
MI,53,12832247,22,4730154,44,55607893,7,11190638,97,68440140,29,15920792,126,84360931
MN,35,10342234,15,3713613,31,41985001,5,5246135,66,52327235,20,8959748,86,61286983
MO,18,4111838,8,2395675,17,34624005,4,8400090,35,38735843,12,10795765,47,49531608
MS,1,49572,0,0,0,0,1,876494,1,49572,1,876494,2,926066
MT,10,1690129,5,972318,8,9408058,2,1499963,18,11098187,7,2472281,25,13570468
NC,84,22639960,35,9468368,74,111994115,9,14919973,158,134634075,44,24388341,202,159022415
ND,1,249974,0,0,0,0,0,0,1,249974,0,0,1,249974
NE,5,1005649,0,0,6,7314258,1,749975,11,8319907,1,749975,12,9069882
NH,33,6314993,16,4177063,33,37395939,1,2694575,66,43710932,17,6871638,83,50582570
NJ,41,8725127,19,4445208,41,58367172,6,7342946,82,67092299,25,11788154,107,78880452
NM,30,5601839,8,1417415,25,30693892,8,8482860,55,36295731,16,9900275,71,46196006
NV,4,538638,2,299999,3,3197668,1,1100000,7,3736306,3,1399999,10,5136305
NY,136,32429957,36,8958208,116,146833221,14,18830529,252,179263178,50,27788737,302,207051915
OH,116,18890177,45,8691768,83,102902369,19,17537303,199,121792546,64,26229071,263,148021617
OK,9,1043140,5,927579,7,8986380,6,4480682,16,10029520,11,5408261,27,15437780
OR,39,10552417,9,2205916,23,30539372,1,2434226,62,41091789,10,4640142,72,45731930
PA,114,26553804,33,7672985,105,162703750,12,15360427,219,189257554,45,23033412,264,212290966
PR,4,826692,0,0,1,1000000,0,0,5,1826692,0,0,5,1826692
RI,14,3215896,4,910507,5,6820219,1,1298872,19,10036115,5,2209379,24,12245494
SC,14,3470931,13,4544170,13,17471845,1,2129304,27,20942776,14,6673474,41,27616250
SD,5,989672,1,172998,2,1896607,2,1676585,7,2886279,3,1849583,10,4735862
TN,17,2942191,14,3059917,17,23056134,6,6459287,34,25998325,20,9519204,54,35517529
TX,174,34306067,73,14909107,138,171104513,22,21354662,312,205410580,95,36263769,407,241674349
UT,46,11192535,11,2160414,27,35352611,7,6122175,73,46545146,18,8282589,91,54827736
VA,168,31545813,58,10661621,135,177484480,18,19094177,303,209030293,76,29755798,379,238786092
VT,4,2000072,2,754271,7,10848922,1,1992684,11,12848994,3,2746955,14,15595949
WA,60,14556264,15,4184915,53,68326592,12,12952549,113,82882856,27,17137464,140,100020321
WI,26,6319052,8,1571855,20,24922491,2,3075269,46,31241543,10,4647124,56,35888667
WV,2,224900,2,399999,4,6878148,0,0,6,7103048,2,399999,8,7503047
WY,9,1431490,1,255568,7,7498682,0,0,16,8930172,1,255568,17,9185740
