state,sbir_p1_n,sbir_p1_usd,sttr_p1_n,sttr_p1_usd,sbir_p2_n,sbir_p2_usd,sttr_p2_n,sttr_p2_usd,sbir_tot_n,sbir_tot_usd,sttr_tot_n,sttr_tot_usd,all_tot_n,all_tot_usd
AK,1,150000,0,0,2,1197833,0,0,3,1347833,0,0,3,1347833
AL,56,7356895,8,1172024,36,32164732,12,9334342,92,39521627,20,10506366,112,50027993
AR,14,2883720,1,225000,3,3021692,0,0,17,5905413,1,225000,18,6130413
AZ,56,8597917,10,1358457,36,29683057,9,7298232,92,38280974,19,8656688,111,46937663
CA,709,122332096,93,19510997,351,319678576,40,33505373,1060,442010672,133,53016369,1193,495027041
CO,144,20006266,12,1907573,83,72538185,5,3717408,227,92544451,17,5624981,244,98169432
CT,39,5985169,8,2256550,17,17097267,4,4096986,56,23082436,12,6353536,68,29435972
DC,5,1322700,0,0,2,2114167,1,1049155,7,3436867,1,1049155,8,4486022
DE,13,1854116,5,1019934,6,4435280,1,999982,19,6289396,6,2019916,25,8309312
FL,87,12666287,15,2314445,44,39389836,6,4498615,131,52056123,21,6813060,152,58869183
GA,25,5080490,6,1144947,21,20211022,6,5851289,46,25291512,12,6996236,58,32287748
HI,19,2233805,2,444799,6,4637577,0,0,25,6871382,2,444799,27,7316181
IA,12,1665482,3,597749,8,11104779,0,0,20,12770261,3,597749,23,13368010
ID,5,692222,1,79794,2,999969,0,0,7,1692191,1,79794,8,1771985
IL,57,8365261,17,3550757,32,28937328,4,2958406,89,37302590,21,6509163,110,43811753
IN,26,4306133,10,2646070,17,15644108,0,0,43,19950241,10,2646070,53,22596311
KS,12,1451701,0,0,8,6653802,1,723765,20,8105503,1,723765,21,8829268
KY,15,2956356,8,1447620,10,10889918,1,695993,25,13846274,9,2143613,34,15989887
LA,3,524862,1,223701,4,2530374,0,0,7,3055236,1,223701,8,3278937
MA,349,55404591,47,8177680,175,174473245,23,22723985,524,229877836,70,30901665,594,260779501
MD,160,30582737,27,4416996,79,80808523,4,2939051,239,111391260,31,7356047,270,118747307
ME,5,570209,1,224647,1,750000,0,0,6,1320209,1,224647,7,1544856
MI,71,10736466,10,1816114,35,32983519,3,2244075,106,43719985,13,4060189,119,47780174
MN,50,9478891,7,1335157,15,14512719,2,1995580,65,23991610,9,3330737,74,27322347
MO,21,4551788,2,374946,11,8865452,0,0,32,13417240,2,374946,34,13792186
MS,1,140272,0,0,0,0,0,0,1,140272,0,0,1,140272
MT,16,2154397,1,149948,10,9820803,1,1000000,26,11975200,2,1149948,28,13125148
NC,62,11342512,22,4774141,34,35171075,5,4948148,96,46513587,27,9722289,123,56235876
ND,2,249975,1,224981,0,0,1,734890,2,249975,2,959871,4,1209846
NE,5,1113405,3,987969,2,1726294,1,742058,7,2839699,4,1730027,11,4569726
NH,41,5941052,6,1123408,37,32799114,4,4467482,78,38740166,10,5590890,88,44331056
NJ,61,8619818,9,1794946,40,40955465,8,7045245,101,49575283,17,8840191,118,58415473
NM,51,7686805,6,870396,22,18902577,5,4199344,73,26589382,11,5069740,84,31659122
NV,12,2046289,3,966662,2,1528202,0,0,14,3574491,3,966662,17,4541153
NY,131,21525897,23,5096268,70,61090065,12,11054883,201,82615962,35,16151150,236,98767112
OH,128,18846843,15,2645857,63,65515152,12,8752562,191,84361995,27,11398419,218,95760414
OK,10,1609698,4,1142540,2,1576982,2,1749985,12,3186680,6,2892525,18,6079205
OR,40,6459898,3,744046,24,29448301,4,4617766,64,35908199,7,5361812,71,41270011
PA,136,22152448,15,2726404,61,59028159,8,6239913,197,81180607,23,8966317,220,90146924
RI,11,1516448,1,79754,4,2949779,1,749427,15,4466227,2,829181,17,5295408
SC,14,2423696,3,1017592,7,10180174,3,3398855,21,12603870,6,4416447,27,17020317
SD,4,574540,1,224946,2,1159849,0,0,6,1734389,1,224946,7,1959335
TN,16,2246971,5,973863,10,9882171,1,750000,26,12129142,6,1723863,32,13853005
TX,155,23739351,28,4865383,66,60963118,5,3492221,221,84702469,33,8357604,254,93060073
UT,39,6281067,4,821053,18,17268802,3,2994735,57,23549869,7,3815788,64,27365657
VA,178,24091748,35,5210670,104,91644074,12,10285144,282,115735822,47,15495814,329,131231636
VT,5,867838,1,149873,6,6585407,0,0,11,7453245,1,149873,12,7603118
WA,64,12172029,5,946639,20,19833144,5,4279946,84,32005173,10,5226585,94,37231758
WI,34,7161078,3,950000,17,16592102,3,1949956,51,23753180,6,2899956,57,26653136
WV,0,0,0,0,1,1362861,1,749997,1,1362861,1,749997,2,2112858
WY,4,638212,0,0,2,1048433,1,747441,6,1686645,1,747441,7,2434086
