state,sbir_p1_n,sbir_p1_usd,sttr_p1_n,sttr_p1_usd,sbir_p2_n,sbir_p2_usd,sttr_p2_n,sttr_p2_usd,sbir_tot_n,sbir_tot_usd,sttr_tot_n,sttr_tot_usd,all_tot_n,all_tot_usd
AK,3,250000,1,256000,0,0,0,0,3,250000,1,256000,4,506000
AL,56,9567706,20,3519782,35,38883691,6,6808404,91,48451397,26,10328186,117,58779584
AR,8,1201463,6,988402,5,5473058,0,0,13,6674521,6,988402,19,7662923
AZ,60,11879263,17,4119585,44,44541790,11,8639977,104,56421054,28,12759562,132,69180615
CA,750,139577979,165,34642941,427,576305900,43,53203919,1177,715883880,208,87846860,1385,803730740
CO,180,29288440,41,6389241,107,114940740,11,13543603,287,144229180,52,19932844,339,164162024
CT,34,7668565,10,2366898,13,21863437,2,2400539,47,29532001,12,4767437,59,34299438
DC,19,3027824,2,266582,7,11710457,1,749837,26,14738281,3,1016419,29,15754700
DE,24,3620167,7,1219040,9,13234994,4,4927869,33,16855161,11,6146909,44,23002070
FL,113,19175226,32,6505336,75,88880806,4,6338560,188,108056032,36,12843896,224,120899928
GA,32,6944586,20,5192276,21,27977587,10,8983495,53,34922173,30,14175771,83,49097944
HI,41,8120268,4,521899,15,21244625,2,1849785,56,29364893,6,2371684,62,31736577
IA,12,2512278,5,1767892,3,7560286,1,1099773,15,10072564,6,2867665,21,12940229
ID,6,910971,1,149926,4,4622380,0,0,10,5533351,1,149926,11,5683277
IL,79,15757524,26,4678394,45,56207574,7,8954718,124,71965098,33,13633112,157,85598210
IN,36,5459781,21,3681038,17,19322959,3,7479878,53,24782741,24,11160916,77,35943657
KS,11,1378233,11,1048345,4,4480180,1,749631,15,5858413,12,1797976,27,7656389
KY,20,4472171,4,907707,5,10863380,3,3166436,25,15335551,7,4074143,32,19409694
LA,16,2462587,9,1417935,5,8571032,1,840427,21,11033619,10,2258362,31,13291981
MA,324,66357157,81,15288442,244,329356818,25,29355281,568,395713976,106,44643724,674,440357699
MD,148,32763412,38,7373371,93,138355799,13,22026798,241,171119211,51,29400169,292,200519380
ME,9,1848648,0,40000,7,8833829,0,0,16,10682477,0,40000,16,10722477
MH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,53,10322853,18,3493610,29,42297341,9,8885828,82,52620194,27,12379438,109,64999631
MN,41,10595057,8,1738258,21,35297091,3,2368596,62,45892147,11,4106854,73,49999001
MO,19,3857494,6,1618856,22,31119317,6,6487512,41,34976811,12,8106368,53,43083179
MS,1,236969,0,0,1,1244320,0,0,2,1481289,0,0,2,1481289
MT,11,1988478,2,447787,6,5396635,3,5130711,17,7385113,5,5578498,22,12963611
NC,115,27453865,31,8184543,75,115930370,6,7894630,190,143384235,37,16079173,227,159463408
ND,1,249886,0,0,0,0,0,0,1,249886,0,0,1,249886
NE,5,669188,2,501999,4,4487515,0,0,9,5156703,2,501999,11,5658702
NH,35,5852601,6,1292714,23,41260667,2,2351063,58,47113268,8,3643777,66,50757045
NJ,56,9918239,22,4098911,47,56047246,8,5636602,103,65965485,30,9735513,133,75700998
NM,49,8113476,9,1262752,21,29141846,1,758628,70,37255322,10,2021380,80,39276702
NV,8,1147684,0,0,2,2376284,2,1302426,10,3523968,2,1302426,12,4826394
NY,142,27711635,46,8388381,89,115323799,12,17038782,231,143035434,58,25427163,289,168462597
OH,135,21396685,76,10733127,76,90558868,27,21886772,211,111955553,103,32619899,314,144575452
OK,18,2505581,8,988514,8,11047590,0,0,26,13553170,8,988514,34,14541684
OR,49,8842132,9,1432882,18,28213657,5,3593692,67,37055789,14,5026574,81,42082363
PA,115,22715362,32,6324440,80,127417703,13,15775856,195,150133065,45,22100296,240,172233361
PR,2,449996,0,0,0,783762,0,0,2,1233758,0,0,2,1233758
RI,10,2686666,4,1224974,8,8588041,2,1586319,18,11274706,6,2811293,24,14085999
SC,14,3085257,12,4537785,10,9716260,4,3340115,24,12801517,16,7877900,40,20679417
SD,2,461413,3,423943,2,1960406,1,629372,4,2421819,4,1053315,8,3475134
TN,19,3968824,12,1636210,18,22105065,3,3024010,37,26073889,15,4660220,52,30734109
TX,206,30497899,60,9285965,99,100998790,15,14690787,305,131496689,75,23976752,380,155473441
UT,35,7820872,19,3169355,20,30641532,3,4324933,55,38462403,22,7494288,77,45956691
VA,184,28249961,53,8353253,134,168369730,20,17791440,318,196619691,73,26144693,391,222764384
VT,9,2034559,1,760219,5,8997797,0,0,14,11032356,1,760219,15,11792575
WA,80,17358724,19,5495216,45,62668616,5,5706215,125,80027340,24,11201431,149,91228771
WI,32,6795630,3,1062032,8,15237826,1,799647,40,22033456,4,1861679,44,23895135
WV,3,1240791,4,641715,1,999966,1,1154937,4,2240757,5,1796652,9,4037409
WY,8,871474,2,380950,0,873129,0,0,8,1744603,2,380950,10,2125553
