state,sbir_p1_n,sbir_p1_usd,sttr_p1_n,sttr_p1_usd,sbir_p2_n,sbir_p2_usd,sttr_p2_n,sttr_p2_usd,sbir_tot_n,sbir_tot_usd,sttr_tot_n,sttr_tot_usd,all_tot_n,all_tot_usd
AK,3,544444,0,0,0,0,0,0,3,544444,0,0,3,544444
AL,68,9571943,18,3005932,37,42092343,8,5883997,105,51664285,26,8889929,131,60554214
AR,11,2213757,4,601982,7,7613078,0,585965,18,9826836,4,1187947,22,11014783
AZ,74,12367014,20,4016620,35,41919590,5,4223366,109,54286604,25,8239986,134,62526590
CA,834,136176892,120,23919659,466,635934864,43,41022334,1300,772111756,163,64941993,1463,837053749
CO,199,30269142,25,5038527,97,114937876,15,14582658,296,145207018,40,19621185,336,164828203
CT,36,6579479,7,2550292,28,33784130,3,3418063,64,40363609,10,5968355,74,46331964
DC,29,3412583,4,661390,12,12225805,1,1645446,41,15638388,5,2306836,46,17945224
DE,19,3207760,11,1632221,10,13349658,2,2181571,29,16557418,13,3813792,42,20371210
FL,128,19216093,21,3766647,49,64926816,11,12242590,177,84142909,32,16009237,209,100152146
GA,42,9421577,16,4101954,26,36357025,5,5582937,68,45778603,21,9684891,89,55463494
HI,25,4482315,2,274455,19,28746912,1,2350096,44,33229227,3,2624551,47,35853778
IA,5,962982,3,862555,11,11647927,1,1361255,16,12610909,4,2223810,20,14834720
ID,9,1137154,1,139700,4,4112357,0,0,13,5249511,1,139700,14,5389211
IL,74,14621630,20,4725067,43,49808863,7,8039432,117,64430494,27,12764499,144,77194993
IN,24,3428086,8,1744923,17,21042351,7,5482491,41,24470437,15,7227414,56,31697851
KS,14,2591813,2,174751,7,4917250,2,1996143,21,7509063,4,2170894,25,9679957
KY,21,3719685,4,554984,13,16092823,1,3712351,34,19812509,5,4267335,39,24079844
LA,14,1945315,6,887072,9,8899567,1,750165,23,10844882,7,1637237,30,12482119
MA,428,81684186,60,11893676,204,278529428,26,34662993,632,360213614,86,46556669,718,406770284
MD,178,32723301,41,7303524,112,136379150,15,14668705,290,169102451,56,21972229,346,191074680
ME,8,1124669,2,450000,4,3738547,0,0,12,4863216,2,450000,14,5313216
MH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,81,13062758,15,3458331,40,56828965,11,12057473,121,69891723,26,15515804,147,85407526
MN,41,9632403,7,2305621,29,37249934,0,4954458,70,46882337,7,7260079,77,54142416
MO,32,8418952,5,1528130,16,18775096,3,2153974,48,27194048,8,3682104,56,30876152
MS,3,381468,0,0,2,2152559,0,0,5,2534027,0,0,5,2534027
MT,8,1842961,6,837877,7,11058324,2,2251383,15,12901285,8,3089260,23,15990545
NC,96,20547876,31,7498531,73,83974040,10,9606510,169,104521916,41,17105041,210,121626957
ND,2,349969,0,0,0,0,0,0,2,349969,0,0,2,349969
NE,12,1860796,2,561321,3,5213834,0,0,15,7074630,2,561321,17,7635951
NH,37,7291090,8,1597980,40,43702466,2,4776063,77,50993556,10,6374043,87,57367599
NJ,67,10414260,24,4355125,37,45989768,1,2573137,104,56404028,25,6928262,129,63332290
NM,33,4614910,8,1551414,12,23833561,6,4825285,45,28448471,14,6376699,59,34825170
NV,11,1330687,0,0,2,4639076,1,747570,13,5969763,1,747570,14,6717333
NY,182,33454032,32,7674048,100,130994743,17,15703001,282,164448775,49,23377049,331,187825824
OH,150,24119957,37,6847134,83,97381943,12,10331216,233,121501900,49,17178350,282,138680251
OK,11,2172065,4,751324,7,8234269,3,2063684,18,10406334,7,2815008,25,13221342
OR,51,9429784,9,1844409,21,31441560,0,327912,72,40871343,9,2172321,81,43043664
PA,138,26071705,30,7066558,90,110962970,16,18441610,228,137034675,46,25508168,274,162542843
PR,0,0,0,0,2,1552513,0,0,2,1552513,0,0,2,1552513
RI,15,2459860,3,993632,8,6460694,0,0,23,8920554,3,993632,26,9914186
SC,25,6334301,5,1719007,10,10586575,0,0,35,16920876,5,1719007,40,18639883
SD,8,1233206,4,341457,4,5254179,2,499978,12,6487385,6,841435,18,7328820
TN,34,6055758,11,1866666,19,22831642,5,2691931,53,28887400,16,4558597,69,33445997
TX,229,32275585,46,8193877,85,109077806,13,11951453,314,141353391,59,20145330,373,161498721
UT,57,9417648,5,952628,36,41826414,2,2378160,93,51244062,7,3330788,100,54574850
VA,243,34525147,29,4995946,152,178581895,18,17774330,395,213107042,47,22770276,442,235877318
VT,14,2632286,0,0,9,10645829,2,2857148,23,13278115,2,2857148,25,16135263
WA,82,15044407,16,3502129,51,62050779,2,3751037,133,77095186,18,7253166,151,84348352
WI,18,3668578,8,1944025,11,18901351,2,3189854,29,22569929,10,5133879,39,27703808
WV,2,289366,3,323248,3,6184429,3,2211212,5,6473795,6,2534460,11,9008255
WY,7,1267203,5,988844,5,4113128,2,249996,12,5380331,7,1238840,19,6619171
