state,sbir_p1_n,sbir_p1_usd,sttr_p1_n,sttr_p1_usd,sbir_p2_n,sbir_p2_usd,sttr_p2_n,sttr_p2_usd,sbir_tot_n,sbir_tot_usd,sttr_tot_n,sttr_tot_usd,all_tot_n,all_tot_usd
AK,2,246965,0,0,0,0,0,0,2,246965,0,0,2,246965
AL,55,7794400,9,1076394,34,26548571,5,2738497,89,34342971,14,3814891,103,38157862
AR,13,1923206,2,399995,7,4366639,0,0,20,6289845,2,399995,22,6689840
AZ,54,7219845,12,2253671,22,18680646,2,1499870,76,25900491,14,3753541,90,29654032
CA,638,111665890,80,12684744,328,293975963,30,21260088,966,405641852,110,33944832,1076,439586684
CO,141,19820801,18,2777998,51,42278115,5,3399882,192,62098916,23,6177880,215,68276796
CT,45,7912746,6,849950,21,15770184,2,1699999,66,23682920,8,2549949,74,26232869
DC,6,1228242,2,374966,2,1199942,0,0,8,2428184,2,374966,10,2803150
DE,22,3417088,2,249991,9,7274076,0,0,31,10691164,2,249991,33,10941155
FL,67,9628238,14,2556377,40,39552662,10,6263291,107,49180900,24,8819668,131,58000568
GA,43,8743248,5,757677,20,20470208,5,4683629,63,29213456,10,5441306,73,34654762
HI,15,2317571,1,80000,8,5968063,1,500000,23,8285634,2,580000,25,8865634
IA,12,1775431,4,950084,0,0,1,684889,12,1775431,5,1634973,17,3410404
ID,3,449977,1,79634,3,1948014,2,1247956,6,2397991,3,1327590,9,3725581
IL,70,11031511,10,1238841,39,29818024,7,5883067,109,40849535,17,7121908,126,47971443
IN,24,3999037,4,799071,19,16211708,3,1499108,43,20210745,7,2298179,50,22508924
KS,9,1634863,1,225000,4,3779020,1,998189,13,5413883,2,1223189,15,6637072
KY,25,5452253,5,842250,6,5671638,1,2986389,31,11123891,6,3828639,37,14952530
LA,9,1032359,0,0,5,3493701,0,0,14,4526060,0,0,14,4526060
MA,340,53741449,60,8699069,177,157536697,20,12044920,517,211278146,80,20743989,597,232022135
MD,155,25274108,19,3411883,62,60169337,10,5956860,217,85443445,29,9368743,246,94812188
ME,5,699840,2,304999,3,1948911,0,0,8,2648751,2,304999,10,2953750
MI,73,10826024,10,1579149,34,30705142,4,3491043,107,41531166,14,5070192,121,46601358
MN,35,5887765,4,789298,21,19092810,3,4417328,56,24980575,7,5206626,63,30187201
MO,14,2078040,2,524687,7,6208356,1,709336,21,8286396,3,1234023,24,9520419
MS,0,0,3,580339,0,0,1,700000,0,0,4,1280339,4,1280339
MT,21,2757866,3,481925,6,2732845,1,416990,27,5490711,4,898915,31,6389626
NC,70,12388264,14,2925033,31,31794427,4,3368672,101,44182691,18,6293705,119,50476396
ND,2,291794,1,99995,0,0,1,411035,2,291794,2,511030,4,802824
NE,4,697762,2,306840,0,0,0,0,4,697762,2,306840,6,1004602
NH,49,6450049,10,1355552,25,21515587,0,0,74,27965636,10,1355552,84,29321188
NJ,70,11388462,10,1229431,34,28371886,3,1166783,104,39760348,13,2396214,117,42156562
NM,52,6973424,4,504700,16,12753969,5,3227589,68,19727393,9,3732289,77,23459682
NV,5,698761,2,693239,7,6718671,0,0,12,7417432,2,693239,14,8110671
NY,118,19952055,24,4541641,64,65813913,8,5139663,182,85765968,32,9681304,214,95447272
OH,99,15069761,18,2430046,51,39424063,4,3748340,150,54493824,22,6178386,172,60672210
OK,5,1137418,3,949969,4,4284349,0,0,9,5421767,3,949969,12,6371736
OR,41,7188100,1,573060,16,15691418,1,800676,57,22879518,2,1373736,59,24253254
PA,101,17566923,19,3633890,43,38345933,4,2308819,144,55912856,23,5942709,167,61855565
PR,1,149781,0,0,0,0,0,0,1,149781,0,0,1,149781
RI,12,1784486,0,0,4,5221444,0,0,16,7005930,0,0,16,7005930
SC,11,1966214,2,482847,2,1733606,0,0,13,3699820,2,482847,15,4182667
SD,4,559187,0,0,1,500000,0,0,5,1059187,0,0,5,1059187
TN,14,1994921,0,0,7,7605428,2,2438288,21,9600349,2,2438288,23,12038637
TX,134,22415290,19,2450653,63,60274965,22,15577429,197,82690254,41,18028082,238,100718336
UT,36,6663607,7,1225910,14,14302240,3,2249352,50,20965847,10,3475262,60,24441109
VA,176,22777280,29,3960607,97,77549873,7,4205288,273,100327152,36,8165895,309,108493047
VT,4,1049132,0,0,1,1782457,0,0,5,2831589,0,0,5,2831589
WA,60,10722623,5,957896,25,25563125,2,2486817,85,36285748,7,3444713,92,39730461
WI,32,6062129,6,1229757,16,14107808,3,1104018,48,20169937,9,2333775,57,22503712
WV,2,204997,0,0,2,1582411,0,0,4,1787408,0,0,4,1787408
WY,1,599241,0,0,1,489460,1,746576,2,1088701,1,746576,3,1835277
