state,sbir_p1_n,sbir_p1_usd,sttr_p1_n,sttr_p1_usd,sbir_p2_n,sbir_p2_usd,sttr_p2_n,sttr_p2_usd,sbir_tot_n,sbir_tot_usd,sttr_tot_n,sttr_tot_usd,all_tot_n,all_tot_usd
AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,42,6136525,12,2442765,38,40167096,10,9349645,80,46303621,22,11792409,102,58096030
AR,11,1846034,1,300000,3,5821182,0,0,14,7667216,1,300000,15,7967216
AS,0,0,1,149498,0,0,0,0,0,0,1,149498,1,149498
AZ,0,0,12,3074381,37,34275265,2,2301999,37,34275265,14,5376380,51,39651645
CA,660,126011010,70,14636055,338,456626681,34,37230785,998,582637691,104,51866840,1102,634504531
CO,139,23719266,26,4428168,95,98931343,13,16790818,234,122650609,39,21218986,273,143869595
CT,43,7417796,8,2132069,17,21469878,1,2683404,60,28887674,9,4815473,69,33703147
DC,12,2587011,3,458057,4,6626244,1,774407,16,9213255,4,1232464,20,10445719
DE,22,3678232,5,928293,10,15570111,4,3510715,32,19248343,9,4439008,41,23687351
FL,106,17351001,18,3648204,42,54793328,11,8800266,148,72144329,29,12448470,177,84592799
GA,27,6327487,6,1100979,21,30683620,4,3974917,48,37011107,10,5075896,58,42087003
HI,13,2713665,3,421000,14,21089943,2,1125000,27,23803608,5,1546000,32,25349608
IA,16,3214034,3,524504,4,5619344,0,0,20,8833378,3,524504,23,9357882
ID,5,599054,1,124940,1,1750314,0,0,6,2349368,1,124940,7,2474308
IL,69,13421354,15,3509547,37,44658210,6,7972077,106,58079564,21,11481624,127,69561188
IN,24,4279688,9,2041409,12,14775603,2,2489526,36,19055291,11,4530935,47,23586226
KS,16,3121968,3,674094,3,2866568,0,0,19,5988536,3,674094,22,6662630
KY,26,5559109,7,1860717,9,14050790,0,0,35,19609899,7,1860717,42,21470616
LA,9,1570781,3,574645,8,5623849,0,0,17,7194630,3,574645,20,7769275
MA,325,68324775,51,11096219,201,253812299,22,20920455,526,322137074,73,32016674,599,354153748
MD,173,39162889,20,4256085,74,93766626,9,12971546,247,132929515,29,17227631,276,150157146
ME,6,1449632,1,303381,2,2187865,0,0,8,3637497,1,303381,9,3940878
MI,70,13021221,16,3738484,35,47640700,5,4630574,105,60661921,21,8369058,126,69030979
MN,42,7205491,7,1625129,25,29382994,5,5634581,67,36588485,12,7259710,79,43848195
MO,35,8002414,13,2832263,9,14076322,3,2352344,44,22078736,16,5184607,60,27263343
MS,2,324317,1,180830,3,2176395,0,0,5,2500712,1,180830,6,2681542
MT,18,3285735,5,999076,9,7526967,0,0,27,10812702,5,999076,32,11811778
NC,112,24139354,21,5278939,46,62642224,3,6320402,158,86781578,24,11599341,182,98380919
ND,1,94172,0,0,0,0,0,0,1,94172,0,0,1,94172
NE,3,726614,0,0,4,4657583,0,0,7,5384197,0,0,7,5384197
NH,58,9842503,7,2170980,25,29464639,5,4626330,83,39307142,12,6797310,95,46104452
NJ,68,11490637,6,1174524,18,27398084,9,9520803,86,38888721,15,10695327,101,49584048
NM,38,6079266,6,999597,22,30535484,4,4888758,60,36614750,10,5888355,70,42503105
NV,4,590181,2,375000,2,2581195,0,0,6,3171376,2,375000,8,3546376
NY,136,26646356,31,7272468,67,88382464,9,10773988,203,115028820,40,18046456,243,133075276
OH,118,19199236,28,4891127,76,86582773,10,11781294,194,105782009,38,16672421,232,122454430
OK,9,1522162,2,449268,5,5574156,0,0,14,7096318,2,449268,16,7545586
OR,25,5667000,3,574659,35,37373511,0,0,60,43040511,3,574659,63,43615170
PA,125,23543897,28,6496934,74,93634883,10,10101195,199,117178780,38,16598129,237,133776909
PR,4,1438241,0,0,0,0,0,0,4,1438241,0,0,4,1438241
RI,14,2742835,2,372811,3,8035155,0,0,17,10777990,2,372811,19,11150801
SC,14,2261241,6,2485822,3,5934809,1,984129,17,8196050,7,3469951,24,11666001
SD,5,744097,0,0,2,3174798,0,0,7,3918895,0,0,7,3918895
TN,21,3642056,5,1123436,10,12814510,3,5123868,31,16456566,8,6247304,39,22703870
TX,130,26215359,41,8567960,67,75977552,13,13212051,197,102192911,54,21780011,251,123972922
UT,34,5859535,8,1871509,23,27414638,7,8179655,57,33274173,15,10051164,72,43325337
VA,154,27133175,29,5089662,117,136840148,14,17628357,271,163973323,43,22718018,314,186691341
VT,7,1761191,2,494449,4,5742718,0,0,11,7503909,2,494449,13,7998358
WA,55,11351680,14,3275098,32,42755601,0,0,87,54107281,14,3275098,101,57382379
WI,32,8059920,6,1538006,11,12965050,2,2843265,43,21024970,8,4381271,51,25406241
WV,5,709971,0,0,4,3640627,0,0,9,4350598,0,0,9,4350598
WY,7,1037539,1,150000,2,2561603,0,0,9,3599142,1,150000,10,3749142
